County,CountywidePopulation,Unincorporated Population,% of Total,Incorporated Population,% of Total.1,Year
Monroe,74044,33793,0.456390795,40251,0.543609205,2014
Nassau,75321,59212,0.786128702,16109,0.213871298,2014
Okaloosa,190666,109766,0.575697817,80900,0.424302183,2014
Okeechobee,39828,34245,0.859822236,5583,0.140177764,2014
Orange,1227995,786296,0.640308796,441699,0.359691204,2014
Osceola,295553,191514,0.647985302,104039,0.352014698,2014
Palm Beach,1360238,599993,0.441094132,760245,0.558905868,2014
Pasco,479340,437620,0.912963658,41720,0.087036342,2014
Pinellas,933258,272348,0.291824983,660910,0.708175017,2014
Polk,623174,385924,0.619287711,237250,0.380712289,2014
Putnam,72523,57706,0.795692401,14817,0.204307599,2014
St. Johns,207443,187002,0.901462088,20441,0.098537912,2014
St. Lucie,282821,70459,0.249129308,212362,0.750870692,2014
Santa Rosa,159785,144117,0.901943236,15668,0.098056764,2014
Sarasota,387140,248619,0.642194038,138521,0.357805962,2014
Seminole,437086,211635,0.48419533,225451,0.51580467,2014
Sumter,111125,98924,0.890204724,12201,0.109795276,2014
Suwannee,44168,36625,0.82922025,7543,0.17077975,2014
Taylor,22932,15863,0.691740799,7069,0.308259201,2014
Union,15647,13124,0.838755033,2523,0.161244967,2014
Volusia,503851,115057,0.228355208,388794,0.771644792,2014
Wakulla,31285,30555,0.976666134,730,0.023333866,2014
Walton,59793,51305,0.858043584,8488,0.141956416,2014
Washington,24959,19880,0.79650627,5079,0.20349373,2014
Alachua,248002,99282,0.400327417,148720,0.599672583,2013
Baker,26881,20088,0.747293627,6793,0.252706373,2013
Bay,169866,74517,0.438681078,95349,0.561318922,2013
Bradford,27217,20130,0.739611272,7087,0.260388728,2013
Brevard,548424,206365,0.376287325,342059,0.623712675,2013
Broward,1784715,14699,0.008236049,1770016,0.991763951,2013
Calhoun,14621,11554,0.790233226,3067,0.209766774,2013
Charlotte,163679,146592,0.895606645,17087,0.104393355,2013
Citrus,140519,130277,0.927113059,10242,0.072886941,2013
Clay,192843,175387,0.909480769,17456,0.090519231,2013
Collier,333663,297103,0.890428366,36560,0.109571634,2013
Columbia,67489,55000,0.814947621,12489,0.185052379,2013
DeSoto,34367,26827,0.780603486,7540,0.219396514,2013
Dixie,16263,14385,0.884523151,1878,0.115476849,2013
Duval,876075,0,0.0,876075,1.0,2013
Escambia,301120,247278,0.821194208,53842,0.178805792,2013
Flagler,97843,13301,0.135942275,84542,0.864057725,2013
Franklin,11562,6501,0.562272963,5061,0.437727037,2013
Gadsden,47588,29474,0.619357821,18114,0.380642179,2013
Gilchrist,16880,14213,0.84200237,2667,0.15799763,2013
Glades,12658,10967,0.866408595,1691,0.133591405,2013
Gulf,16106,10623,0.659567863,5483,0.340432137,2013
Hamilton,14507,9863,0.679878679,4644,0.320121321,2013
Hardee,27682,17941,0.648110686,9741,0.351889314,2013
Hendry,37808,25888,0.68472281,11920,0.31527719,2013
Hernando,173808,166160,0.955997422,7648,0.044002578,2013
Highlands,99092,77026,0.777318048,22066,0.222681952,2013
Hillsborough,1276410,869181,0.680957529,407229,0.319042471,2013
Holmes,20022,15913,0.794775747,4109,0.205224253,2013
Indian River,139586,92382,0.66182855,47204,0.33817145,2013
Jackson,50166,32082,0.639516804,18084,0.360483196,2013
Jefferson,14554,12086,0.830424626,2468,0.169575374,2013
Lafayette,8618,7402,0.858899977,1216,0.141100023,2013
Lake,303317,155998,0.514306814,147319,0.485693186,2013
Lee,643367,357168,0.555154368,286199,0.444845632,2013
Leon,278377,94650,0.340006538,183727,0.659993462,2013
Levy,40304,31053,0.770469432,9251,0.229530568,2013
Liberty,8483,7489,0.882824472,994,0.117175528,2013
Madison,19395,15144,0.780819799,4251,0.219180201,2013
Manatee,333880,261682,0.783760633,72198,0.216239367,2013
Marion,335008,270338,0.806959834,64670,0.193040166,2013
Martin,148077,129133,0.87206656,18944,0.12793344,2013
Miami-Dade,2582375,1137821,0.440610291,1444554,0.559389709,2013
Monroe,73560,33380,0.453779228,40180,0.546220772,2013
Nassau,74661,58632,0.785309599,16029,0.214690401,2013
Okaloosa,188349,108531,0.576222863,79818,0.423777137,2013
Okeechobee,39762,34212,0.860419496,5550,0.139580504,2013
Orange,1202978,772657,0.642286891,430321,0.357713109,2013
Osceola,288361,185825,0.644417934,102536,0.355582066,2013
Palm Beach,1345652,596187,0.443046939,749465,0.556953061,2013
Pasco,473566,432770,0.913853613,40796,0.086146387,2013
Pinellas,926610,271227,0.292708907,655383,0.707291093,2013
Polk,613950,381496,0.621379591,232454,0.378620409,2013
Putnam,72605,57902,0.797493286,14703,0.202506714,2013
St. Johns,201541,181302,0.899578746,20239,0.100421254,2013
St. Lucie,281151,70920,0.252248792,210231,0.747751208,2013
Santa Rosa,157317,141769,0.901167706,15548,0.098832294,2013
Sarasota,385292,247767,0.643062924,137525,0.356937076,2013
Seminole,431074,210222,0.48767033,220852,0.51232967,2013
Sumter,105104,93122,0.88599863,11982,0.11400137,2013
Suwannee,43873,36379,0.829188795,7494,0.170811205,2013
Taylor,23018,15987,0.694543401,7031,0.305456599,2013
Union,15483,12976,0.838080475,2507,0.161919525,2013
Volusia,498978,115300,0.231072312,383678,0.768927688,2013
Wakulla,30869,30134,0.976189705,735,0.023810295,2013
Walton,57779,49537,0.857353018,8242,0.142646982,2013
Washington,24793,19646,0.792401081,5147,0.207598919,2013
Alachua *,246770,98850,0.400575435,147920,0.599424565,2012
Baker,26938,20155,0.748199569,6783,0.251800431,2012
Bay,169392,74417,0.439318268,94975,0.560681732,2012
Bradford,27239,20264,0.743933331,6975,0.256066669,2012
Brevard,545625,205690,0.376980527,339935,0.623019473,2012
Broward *,1771099,16607,0.009376664,1754492,0.990623336,2012
Calhoun,14641,11598,0.792159006,3043,0.207840994,2012
Charlotte,163357,146373,0.896031391,16984,0.103968609,2012
Citrus,140761,130490,0.927032346,10271,0.072967654,2012
Clay,192071,174677,0.909439738,17394,0.090560262,2012
Collier,329849,293343,0.889325115,36506,0.110674885,2012
Columbia,67729,55102,0.813565829,12627,0.186434171,2012
DeSoto,34408,26823,0.77955708,7585,0.22044292,2012
Dixie,16298,14423,0.884955209,1875,0.115044791,2012
Duval,869729,0,0.0,869729,1.0,2012
Escambia,299511,245796,0.820657672,53715,0.179342328,2012
Flagler,97160,13253,0.13640387,83907,0.86359613,2012
Franklin,11530,6431,0.557762359,5099,0.442237641,2012
Gadsden,47506,29595,0.62297394,17911,0.37702606,2012
Gilchrist,16946,14289,0.843207837,2657,0.156792163,2012
Glades,12671,11005,0.868518665,1666,0.131481335,2012
Gulf,15907,10458,0.657446407,5449,0.342553593,2012
Hamilton,14836,10190,0.686842815,4646,0.313157185,2012
Hardee,27762,17950,0.64656725,9812,0.35343275,2012
Hendry,38132,26288,0.689394734,11844,0.310605266,2012
Hernando,173104,165397,0.955477632,7707,0.044522368,2012
Highlands,98955,77041,0.778545804,21914,0.221454196,2012
Hillsborough,1256118,854465,0.680242621,401653,0.319757379,2012
Holmes,19984,15868,0.794035228,4116,0.205964772,2012
Indian River,139446,92378,0.662464323,47068,0.337535677,2012
Jackson,49847,32138,0.644732883,17709,0.355267117,2012
Jefferson,14478,12034,0.831192154,2444,0.168807846,2012
Lafayette,8663,7441,0.858940321,1222,0.141059679,2012
Lake,299677,154655,0.516072305,145022,0.483927695,2012
Lee *,638029,353196,0.553573584,284833,0.446426416,2012
Leon,277670,94027,0.338628588,183643,0.661371412,2012
Levy,40339,31080,0.770470265,9259,0.229529735,2012
Liberty,8519,7524,0.883202254,995,0.116797746,2012
Madison *,19227,15005,0.780412961,4222,0.219587039,2012
Manatee,330302,258211,0.781742163,72091,0.218257837,2012
Marion,332989,268686,0.806891519,64303,0.193108481,2012
Martin,147203,128332,0.871802884,18871,0.128197116,2012
Miami-Dade,2551290,1121297,0.439501977,1429993,0.560498023,2012
Monroe,72897,32776,0.449620698,40121,0.550379302,2012
Nassau,73745,57997,0.786453319,15748,0.213546681,2012
Okaloosa,187280,107903,0.576158693,79377,0.423841307,2012
Okeechobee,39805,34227,0.859866851,5578,0.140133149,2012
Orange,1175941,754470,0.641588311,421471,0.358411689,2012
Osceola,280866,180821,0.64379811,100045,0.35620189,2012
Palm Beach,1335415,592927,0.444002052,742488,0.555997948,2012
Pasco,468562,428319,0.914113821,40243,0.085886179,2012
Pinellas,920381,270109,0.293475202,650272,0.706524798,2012
Polk,606888,378315,0.623368727,228573,0.376631273,2012
Putnam,73158,58453,0.798996692,14705,0.201003308,2012
St. Johns,196071,176128,0.898286845,19943,0.101713155,2012
St. Lucie,280355,70872,0.252793779,209483,0.747206221,2012
Santa Rosa,155390,139935,0.900540575,15455,0.099459425,2012
Sarasota,383664,247070,0.643974936,136594,0.356025064,2012
Seminole,428104,209974,0.490474277,218130,0.509525723,2012
Sumter,100198,88363,0.88188387,11835,0.11811613,2012
Suwannee,43796,36265,0.828043657,7531,0.171956343,2012
Taylor,22898,15861,0.692680583,7037,0.307319417,2012
Union,15510,12971,0.836299162,2539,0.163700838,2012
Volusia,497145,115757,0.232843537,381388,0.767156463,2012
Wakulla,30771,30037,0.976146372,734,0.023853628,2012
Walton,56965,48818,0.856982358,8147,0.143017642,2012
Washington,24922,19730,0.79167001,5192,0.20832999,2012
Alachua *,247337,98928,0.399972507,148409,0.600027493,2011
Baker,26927,20147,0.748208118,6780,0.251791882,2011
Bay *,169278,74357,0.439259679,94921,0.560740321,2011
Bradford,28662,21677,0.756297537,6985,0.243702463,2011
Brevard *,545184,206763,0.37925361,338421,0.62074639,2011
Broward *,1753162,16917,0.009649422,1736245,0.990350578,2011
Calhoun,14685,11639,0.79257746,3046,0.20742254,2011
Charlotte,160463,143722,0.895670653,16741,0.104329347,2011
Citrus,140956,130646,0.926856608,10310,0.073143392,2011
Clay,191143,173754,0.909026226,17389,0.090973774,2011
Collier,323785,287485,0.887888568,36300,0.112111432,2011
Columbia,67528,54911,0.813158986,12617,0.186841014,2011
DeSoto,34708,27116,0.781260804,7592,0.218739196,2011
Dixie,16385,14489,0.884284406,1896,0.115715594,2011
Duval,864601,0,0.0,864601,1.0,2011
Escambia,299261,245632,0.820795226,53629,0.179204774,2011
Flagler,96241,13127,0.13639717,83114,0.86360283,2011
Franklin,11527,6551,0.568317862,4976,0.431682138,2011
Gadsden,48200,29645,0.615041494,18555,0.384958506,2011
Gilchrist,16983,14288,0.8413119,2695,0.1586881,2011
Glades,12812,11175,0.87222916,1637,0.12777084,2011
Gulf,15789,10360,0.656153018,5429,0.343846982,2011
Hamilton,14744,10208,0.69234943,4536,0.30765057,2011
Hardee,27653,17964,0.649622102,9689,0.350377898,2011
Hendry,38908,27119,0.697003187,11789,0.302996813,2011
Hernando,173078,165355,0.9553785,7723,0.0446215,2011
Highlands,98712,77132,0.781384229,21580,0.218615771,2011
Hillsborough,1238951,842395,0.679926002,396556,0.320073998,2011
Holmes,19901,15694,0.788603588,4207,0.211396412,2011
Indian River,138694,91899,0.662602564,46795,0.337397436,2011
Jackson,49964,33974,0.679969578,15990,0.320030422,2011
Jefferson,14666,12210,0.832537843,2456,0.167462157,2011
Lafayette,8752,7527,0.860031993,1225,0.139968007,2011
Lake,298265,154387,0.517616884,143878,0.482383116,2011
Lee *,625310,348297,0.556998929,277013,0.443001071,2011
Leon,276278,93796,0.339498621,182482,0.660501379,2011
Levy,40767,31499,0.772659259,9268,0.227340741,2011
Liberty,8370,7370,0.880525687,1000,0.119474313,2011
Madison *,19298,15050,0.779873562,4248,0.220126438,2011
Manatee,325905,254556,0.781074239,71349,0.218925761,2011
Marion,331745,267939,0.807665526,63806,0.192334474,2011
Martin,146689,127916,0.87202176,18773,0.12797824,2011
Miami-Dade *,2516537,1109057,0.440707607,1407480,0.559292393,2011
Monroe,72670,32603,0.448644558,40067,0.551355442,2011
Nassau,73684,57954,0.786520819,15730,0.213479181,2011
Okaloosa,181679,104982,0.577843339,76697,0.422156661,2011
Okeechobee,39870,34289,0.860020065,5581,0.139979935,2011
Orange,1157342,742671,0.641704008,414671,0.358295992,2011
Osceola,273867,177648,0.648665228,96219,0.351334772,2011
Palm Beach *,1325758,590046,0.445063126,735712,0.554936874,2011
Pasco,466533,426604,0.914413343,39929,0.085586657,2011
Pinellas,918496,270559,0.294567423,647937,0.705432577,2011
Polk *,604792,377425,0.624057527,227367,0.375942473,2011
Putnam,74052,58967,0.796291795,15085,0.203708205,2011
St. Johns,192852,172963,0.896869102,19889,0.103130898,2011
St. Lucie,279696,71256,0.254762313,208440,0.745237687,2011
Santa Rosa,154901,139499,0.90056875,15402,0.09943125,2011
Sarasota,381319,246073,0.645320585,135246,0.354679415,2011
Seminole,424587,208627,0.49136455,215960,0.50863545,2011
Sumter,96615,84815,0.877865756,11800,0.122134244,2011
Suwannee,43215,35652,0.824991322,7563,0.175008678,2011
Taylor,22500,15523,0.689911111,6977,0.310088889,2011
Union,15473,12935,0.835972339,2538,0.164027661,2011
Volusia,495400,115830,0.233811062,379570,0.766188938,2011
Wakulla,30877,30131,0.975839622,746,0.024160378,2011
Walton,55450,47808,0.862182146,7642,0.137817854,2011
Washington,24638,19255,0.781516357,5383,0.218483643,2011
Alachua,247336,98991,0.400228839,148345,0.599771161,2010
Baker,27115,20304,0.748810621,6811,0.251189379,2010
Bay,168852,74139,0.439076825,94713,0.560923175,2010
Bradford,28520,21503,0.753962132,7017,0.246037868,2010
Brevard,543376,206332,0.379722329,337044,0.620277671,2010
Broward,1748066,17088,0.009775375,1730978,0.990224625,2010
Calhoun,14625,11575,0.791452991,3050,0.208547009,2010
Charlotte,159978,143337,0.895979447,16641,0.104020553,2010
Citrus,141236,130918,0.926944972,10318,0.073055028,2010
Clay,190865,173446,0.908736542,17419,0.091263458,2010
Collier,321520,285170,0.886943269,36350,0.113056731,2010
Columbia,67531,54918,0.813226518,12613,0.186773482,2010
DeSoto,34862,27225,0.780936263,7637,0.219063737,2010
Dixie,16422,14525,0.884484228,1897,0.115515772,2010
Duval,864263,0,0.0,864263,1.0,2010
Escambia,297619,243998,0.819833411,53621,0.180166589,2010
Flagler,95696,13062,0.136494733,82634,0.863505267,2010
Franklin,11549,6540,0.566282795,5009,0.433717205,2010
Gadsden,46389,27945,0.602405743,18444,0.397594257,2010
Gilchrist,16939,14206,0.838656355,2733,0.161343645,2010
Glades,12884,11204,0.869605713,1680,0.130394287,2010
Gulf,15863,10437,0.657946164,5426,0.342053836,2010
Hamilton,14799,8598,0.580985202,6201,0.419014798,2010
Hardee,27731,17973,0.648119433,9758,0.351880567,2010
Hendry,39140,27345,0.698645887,11795,0.301354113,2010
Hernando,172778,165047,0.95525472,7731,0.04474528,2010
Highlands,98786,77236,0.781851679,21550,0.218148321,2010
Hillsborough,1229226,834255,0.678683171,394971,0.321316829,2010
Holmes,19927,15672,0.786470618,4255,0.213529382,2010
Indian River,138028,91363,0.661916423,46665,0.338083577,2010
Jackson,49746,33828,0.680014474,15918,0.319985526,2010
Jefferson,14761,12255,0.830228304,2506,0.169771696,2010
Lafayette,8870,7633,0.86054115,1237,0.13945885,2010
Lake,297047,154245,0.519261262,142802,0.480738738,2010
Lee,618754,345548,0.558457804,273206,0.441542196,2010
Leon,275487,94111,0.341616846,181376,0.658383154,2010
Levy,40801,31526,0.77267714,9275,0.22732286,2010
Liberty,8365,7369,0.880932457,996,0.119067543,2010
Madison,19224,14980,0.77923429,4244,0.22076571,2010
Manatee,322833,251773,0.779886195,71060,0.220113805,2010
Marion,331303,267805,0.80833859,63498,0.19166141,2010
Martin,146318,127557,0.871779275,18761,0.128220725,2010
Miami-Dade,2496457,1109424,0.444399403,1387033,0.555600597,2010
Monroe,73090,33044,0.45210015,40046,0.54789985,2010
Nassau,73314,57618,0.785907194,15696,0.214092806,2010
Okaloosa,180822,104759,0.579348752,76063,0.420651248,2010
Okeechobee,39996,34375,0.859460946,5621,0.140539054,2010
Orange,1145956,736657,0.642831836,409299,0.357168164,2010
Osceola,268685,173820,0.646928559,94865,0.353071441,2010
Palm Beach,1320134,587432,0.44497907,732702,0.55502093,2010
Pasco,464697,424912,0.914385072,39785,0.085614928,2010
Pinellas,916542,270494,0.295124501,646048,0.704875499,2010
Polk,602095,375622,0.623858361,226473,0.376141639,2010
Putnam,74364,59213,0.796258942,15151,0.203741058,2010
Santa Rosa,151372,136250,0.900100415,15122,0.099899585,2010
Sarasota,379448,244936,0.645506104,134512,0.354493896,2010
Seminole,422718,207308,0.490416779,215410,0.509583221,2010
St. Johns,190039,170308,0.896173943,19731,0.103826057,2010
St. Lucie,277789,71006,0.255611273,206783,0.744388727,2010
Sumter,93420,81817,0.875797474,11603,0.124202526,2010
Suwannee,41551,33989,0.818006787,7562,0.181993213,2010
Taylor,22570,15553,0.689100576,7017,0.310899424,2010
Union,15535,12976,0.835275185,2559,0.164724815,2010
Volusia,494593,116655,0.235860596,377938,0.764139404,2010
Wakulla,30776,30026,0.975630361,750,0.024369639,2010
Walton,55043,47435,0.86178079,7608,0.13821921,2010
Washington,24896,19540,0.784865039,5356,0.215134961,2010
Alachua,256232,107260,0.418605014,148972,0.581394986,2009
Baker,25899,19487,0.752422873,6412,0.247577127,2009
Bay,169562,72558,0.427914273,97004,0.572085727,2009
Bradford,29085,21701,0.746123431,7384,0.253876569,2009
Brevard,555657,212749,0.382878286,342908,0.617121714,2009
Broward,1744922,12955,0.007424401,1731967,0.992575599,2009
Calhoun,14601,11580,0.793096363,3021,0.206903637,2009
Charlotte,165455,148466,0.897319513,16989,0.102680487,2009
Citrus,142609,131763,0.923945894,10846,0.076054106,2009
Clay,185208,167545,0.904631549,17663,0.095368451,2009
Collier,333032,293909,0.882524802,39123,0.117475198,2009
Columbia,66409,54750,0.824436447,11659,0.175563553,2009
DeSoto,34792,28053,0.806306047,6739,0.193693953,2009
Dixie,16221,14243,0.878059306,1978,0.121940694,2009
Duval,900518,0,0.0,900518,1.0,2009
Escambia,312980,256463,0.819422966,56517,0.180577034,2009
Flagler,94901,12141,0.12793332,82760,0.87206668,2009
Franklin,12414,8577,0.690913485,3837,0.309086515,2009
Gadsden,50046,33516,0.669703872,16530,0.330296128,2009
Gilchrist,17393,14929,0.858333812,2464,0.141666188,2009
Glades,11311,9656,0.853682256,1655,0.146317744,2009
Gulf,16798,11322,0.674008811,5476,0.325991189,2009
Hamilton,14783,11504,0.778191166,3279,0.221808834,2009
Hardee,28333,18996,0.670454947,9337,0.329545053,2009
Hendry,41320,29733,0.719578896,11587,0.280421104,2009
Hernando,165048,157408,0.953710436,7640,0.046289564,2009
Highlands,99713,78851,0.790779537,20862,0.209220463,2009
Hillsborough,1196892,800116,0.668494735,396776,0.331505265,2009
Holmes,19857,15748,0.793070454,4109,0.206929546,2009
Indian River,141634,91606,0.646779728,50028,0.353220272,2009
Jackson,52637,34086,0.647567301,18551,0.352432699,2009
Jefferson,14677,12156,0.828234653,2521,0.171765347,2009
Lafayette,8183,7185,0.878039839,998,0.121960161,2009
Lake,291993,158729,0.543605497,133264,0.456394503,2009
Lee,615124,323780,0.526365416,291344,0.473634584,2009
Leon,274803,96924,0.352703573,177879,0.647296427,2009
Levy,40674,30730,0.755519496,9944,0.244480504,2009
Liberty,8220,7230,0.879562044,990,0.120437956,2009
Madison,20333,15870,0.780504598,4463,0.219495402,2009
Manatee,318404,238835,0.750100501,79569,0.249899499,2009
Marion,330440,268855,0.813627285,61585,0.186372715,2009
Martin,143856,124191,0.863300801,19665,0.136699199,2009
Miami-Dade,2472344,1081422,0.437407578,1390922,0.562592422,2009
Monroe,77925,36268,0.46542188,41657,0.53457812,2009
Nassau,72588,56400,0.776987932,16188,0.223012068,2009
Okaloosa,196237,117119,0.596824248,79118,0.403175752,2009
Okeechobee,39703,34326,0.864569428,5377,0.135430572,2009
Orange,1108882,710458,0.640697567,398424,0.359302433,2009
Osceola,272788,178908,0.655849964,93880,0.344150036,2009
Palm Beach,1287344,558970,0.434204067,728374,0.565795933,2009
Pasco,439786,398443,0.905992915,41343,0.094007085,2009
Pinellas,931113,271478,0.291562893,659635,0.708437107,2009
Polk,584343,363807,0.622591526,220536,0.377408474,2009
Putnam,74608,58673,0.786417006,15935,0.213582994,2009
St. Johns,183572,163044,0.888174667,20528,0.111825333,2009
St. Lucie,272864,72725,0.266524716,200139,0.733475284,2009
Santa Rosa,144508,130194,0.90094666,14314,0.09905334,2009
Sarasota,389320,253525,0.651199527,135795,0.348800473,2009
Seminole,423759,206308,0.486852197,217451,0.513147803,2009
Sumter,95326,85788,0.899943352,9538,0.100056648,2009
Suwannee,40230,32857,0.816728809,7373,0.183271191,2009
Taylor,23164,16349,0.705793473,6815,0.294206527,2009
Union,15576,12943,0.830957884,2633,0.169042116,2009
Volusia,507105,116448,0.229632916,390657,0.770367084,2009
Wakulla,31791,31050,0.976691516,741,0.023308484,2009
Walton,57917,50544,0.872697136,7373,0.127302864,2009
Washington,24721,19500,0.788803042,5221,0.211196958,2009
Alachua,252388,105051,0.416228188,147337,0.583771812,2008
Baker,25890,19564,0.755658555,6326,0.244341445,2008
Bay,169307,66539,0.393007968,102768,0.606992032,2008
Bradford,29059,21509,0.740183764,7550,0.259816236,2008
Brevard,556213,212492,0.382033502,343721,0.617966498,2008
Broward,1758494,12750,0.007250522,1745744,0.992749478,2008
Calhoun,14310,11302,0.789797345,3008,0.210202655,2008
Charlotte,165781,148130,0.893528209,17651,0.106471791,2008
Citrus,142043,131095,0.922924748,10948,0.077075252,2008
Clay,185168,167484,0.904497537,17684,0.095502463,2008
Collier,332854,292794,0.879646932,40060,0.120353068,2008
Columbia,66121,54304,0.821282195,11817,0.178717805,2008
DeSoto,34487,27860,0.807840636,6627,0.192159364,2008
Dixie,15963,13909,0.871327445,2054,0.128672555,2008
Duval,904971,0,0.0,904971,1.0,2008
Escambia,313480,256911,0.819545107,56569,0.180454893,2008
Flagler,95512,12304,0.128821509,83208,0.871178491,2008
Franklin,12331,8505,0.689725083,3826,0.310274917,2008
Gadsden,50611,33544,0.662780818,17067,0.337219182,2008
Gilchrist,17256,14718,0.852920723,2538,0.147079277,2008
Glades,11323,9668,0.853837322,1655,0.146162678,2008
Gulf,16923,11444,0.676239437,5479,0.323760563,2008
Hamilton,14779,11494,0.777725151,3285,0.222274849,2008
Hardee,27909,18620,0.667168297,9289,0.332831703,2008
Hendry,41216,29765,0.722171002,11451,0.277828998,2008
Hernando,164907,157260,0.953628409,7647,0.046371591,2008
Highlands,100207,79150,0.789864979,21057,0.210135021,2008
Hillsborough,1200541,803794,0.669526488,396747,0.330473512,2008
Holmes,19757,15633,0.791263856,4124,0.208736144,2008
Indian River,141667,91612,0.64667142,50055,0.35332858,2008
Jackson,52639,33973,0.645395999,18666,0.354604001,2008
Jefferson,14553,12016,0.825671683,2537,0.174328317,2008
Lafayette,8287,7278,0.878243031,1009,0.121756969,2008
Lake,288379,157380,0.545740154,130999,0.454259846,2008
Lee,623725,329279,0.527923364,294446,0.472076636,2008
Leon,274892,97040,0.353011364,177852,0.646988636,2008
Levy,40817,30650,0.75091261,10167,0.24908739,2008
Liberty,8158,7207,0.883427311,951,0.116572689,2008
Madison,20152,15814,0.784736006,4338,0.215263994,2008
Manatee,317699,237929,0.74891328,79770,0.25108672,2008
Marion,329418,267915,0.813297998,61503,0.186702002,2008
Martin,143868,124205,0.863326104,19663,0.136673896,2008
Miami-Dade,2477289,1088714,0.439477994,1388575,0.560522006,2008
Monroe,76081,34788,0.45724951,41293,0.54275049,2008
Nassau,71915,55865,0.776819857,16050,0.223180143,2008
Okaloosa,197597,117526,0.594776236,80071,0.405223764,2008
Okeechobee,40003,34507,0.862610304,5496,0.137389696,2008
Orange,1114979,715627,0.641830025,399352,0.358169975,2008
Osceola,273709,179424,0.655528317,94285,0.344471683,2008
Palm Beach,1294654,562807,0.434716148,731847,0.565283852,2008
Pasco,438668,397069,0.905169741,41599,0.094830259,2008
Pinellas,938461,273608,0.291549675,664853,0.708450325,2008
Polk,585733,365265,0.623603246,220468,0.376396754,2008
Putnam,74989,58901,0.785461868,16088,0.214538132,2008
St. Johns,181180,160414,0.8853847,20766,0.1146153,2008
St. Lucie,276585,73815,0.266879983,202770,0.733120017,2008
Santa Rosa,144136,129859,0.900947716,14277,0.099052284,2008
Sarasota,393608,254891,0.647575761,138717,0.352424239,2008
Seminole,426413,206899,0.485208003,219514,0.514791997,2008
Sumter,93034,83445,0.896930155,9589,0.103069845,2008
Suwannee,40927,33503,0.818603856,7424,0.181396144,2008
Taylor,23199,16367,0.705504548,6832,0.294495452,2008
Union,15974,13337,0.834919244,2637,0.165080756,2008
Volusia,510750,117584,0.230218306,393166,0.769781694,2008
Wakulla,30717,29970,0.975681219,747,0.024318781,2008
Walton,57784,50370,0.871694587,7414,0.128305413,2008
Washington,24779,19341,0.780539973,5438,0.219460027,2008
Alachua,247561,103217,0.416935624,144344,0.583064376,2007
Baker,25623,19348,0.755102837,6275,0.244897163,2007
Bay,167631,66728,0.398064797,100903,0.601935203,2007
Bradford,29055,21463,0.738702461,7592,0.261297539,2007
Brevard,552109,210967,0.382111141,341142,0.617888859,2007
Broward,1765707,14080,0.007974143,1751627,0.992025857,2007
Calhoun,14477,11436,0.789942668,3041,0.210057332,2007
Charlotte,164584,147140,0.894011569,17444,0.105988431,2007
Citrus,140124,129101,0.921333961,11023,0.078666039,2007
Clay,184644,167005,0.904470224,17639,0.095529776,2007
Collier,333858,294289,0.881479551,39569,0.118520449,2007
Columbia,65373,53514,0.818594833,11859,0.181405167,2007
DeSoto,33983,27366,0.805284995,6617,0.194715005,2007
Dixie,15808,13755,0.870129049,2053,0.129870951,2007
Duval,897597,0,0.0,897597,1.0,2007
Escambia,311775,255081,0.818157325,56694,0.181842675,2007
Flagler,93568,14879,0.15901804,78689,0.84098196,2007
Franklin,12249,8426,0.687892889,3823,0.312107111,2007
Gadsden,49398,32345,0.654783594,17053,0.345216406,2007
Gilchrist,17106,14614,0.854320122,2492,0.145679878,2007
Glades,11055,9419,0.852012664,1636,0.147987336,2007
