County,CountywidePopulation,Unincorporated Population,% of Total,Incorporated Population,% of Total.1,Year
Gulf,16815,11286,0.671186441,5529,0.328813559,2007
Hamilton,14705,11436,0.777694662,3269,0.222305338,2007
Hardee,27520,18383,0.667986919,9137,0.332013081,2007
Hendry,39651,28414,0.716602356,11237,0.283397644,2007
Hernando,162193,154876,0.954887079,7317,0.045112921,2007
Highlands,98727,77642,0.78643127,21085,0.21356873,2007
Hillsborough,1192861,799294,0.67006466,393567,0.32993534,2007
Holmes,19464,15358,0.789046445,4106,0.210953555,2007
Indian River,139757,90607,0.648318152,49150,0.351681848,2007
Jackson,50416,33360,0.6616947,17056,0.3383053,2007
Jefferson,14494,11940,0.823789154,2554,0.176210846,2007
Lafayette,8215,7202,0.876688984,1013,0.123311016,2007
Lake,286499,156327,0.545645884,130172,0.454354116,2007
Lee,615741,324885,0.52763256,290856,0.47236744,2007
Leon,272896,96467,0.353493639,176429,0.646506361,2007
Levy,40045,29846,0.745311525,10199,0.254688475,2007
Liberty,7772,6822,0.877766341,950,0.122233659,2007
Madison,19944,15632,0.783794625,4312,0.216205375,2007
Manatee,315890,236109,0.747440565,79781,0.252559435,2007
Marion,325023,263792,0.811610255,61231,0.188389745,2007
Martin,143737,124094,0.863340685,19643,0.136659315,2007
Miami-Dade,2462292,1095100,0.444748226,1367192,0.555251774,2007
Monroe,78987,35749,0.452593465,43238,0.547406535,2007
Nassau,69569,53520,0.769308169,16049,0.230691831,2007
Okaloosa,196540,116299,0.591731963,80241,0.408268037,2007
Okeechobee,39030,33216,0.851037663,5814,0.148962337,2007
Orange,1105603,713851,0.645666663,391752,0.354333337,2007
Osceola,266123,174453,0.655535222,91670,0.344464778,2007
Palm Beach,1295033,562781,0.434568849,732252,0.565431151,2007
Pasco,434425,392598,0.903718709,41827,0.096281291,2007
Pinellas,944199,276363,0.292695714,667836,0.707304286,2007
Polk,581058,362801,0.62438001,218257,0.37561999,2007
Putnam,74799,58676,0.78444899,16123,0.21555101,2007
St. Johns,173935,153306,0.881398223,20629,0.118601777,2007
St. Lucie,271961,74039,0.27224124,197922,0.72775876,2007
Santa Rosa,142144,128050,0.900847028,14094,0.099152972,2007
Sarasota,387461,250858,0.647440646,136603,0.352559354,2007
Seminole,425698,208419,0.489593562,217279,0.510406438,2007
Sumter,89771,80202,0.893406557,9569,0.106593443,2007
Suwannee,39608,32053,0.809255706,7555,0.190744294,2007
Taylor,22516,15720,0.69817019,6796,0.30182981,2007
Union,15722,13013,0.827693678,2709,0.172306322,2007
Volusia,508014,116542,0.229407064,391472,0.770592936,2007
Wakulla,29417,28676,0.974810484,741,0.025189516,2007
Walton,57093,49420,0.865605241,7673,0.134394759,2007
Washington,23719,18222,0.768244867,5497,0.231755133,2007
Alachua,243779,101950,0.418206654,141829,0.581793346,2006
Baker,25004,19105,0.764077748,5899,0.235922252,2006
Bay,165515,65551,0.396042655,99964,0.603957345,2006
Bradford,28551,21051,0.737312178,7500,0.262687822,2006
Brevard,543050,213667,0.393457324,329383,0.606542676,2006
Broward,1753162,27773,0.015841662,1725389,0.984158338,2006
Calhoun,14113,11075,0.784737476,3038,0.215262524,2006
Charlotte,160315,143363,0.894258179,16952,0.105741821,2006
Citrus,136749,125772,0.919728846,10977,0.080271154,2006
Clay,176901,159442,0.90130638,17459,0.09869362,2006
Collier,326658,287442,0.879947835,39216,0.120052165,2006
Columbia,63538,52156,0.820863106,11382,0.179136894,2006
DeSoto,33164,26409,0.796315282,6755,0.203684718,2006
Dixie,15677,13635,0.869745487,2042,0.130254513,2006
Duval,879235,0,0.0,879235,1.0,2006
Escambia,309647,252859,0.816604069,56788,0.183395931,2006
Flagler,89075,12751,0.143149032,76324,0.856850968,2006
Franklin,11916,8127,0.682024169,3789,0.317975831,2006
Gadsden,48195,31222,0.647826538,16973,0.352173462,2006
Gilchrist,16703,14220,0.85134407,2483,0.14865593,2006
Glades,10796,9170,0.849388662,1626,0.150611338,2006
Gulf,16509,10769,0.652310861,5740,0.347689139,2006
Hamilton,14517,11233,0.773782462,3284,0.226217538,2006
Hardee,27186,18097,0.665673508,9089,0.334326492,2006
Hendry,38678,27534,0.711877553,11144,0.288122447,2006
Hernando,157006,149676,0.953313886,7330,0.046686114,2006
Highlands,96672,75900,0.785129096,20772,0.214870904,2006
Hillsborough,1164425,777670,0.667857526,386755,0.332142474,2006
Holmes,19502,15475,0.793508358,4027,0.206491642,2006
Indian River,135262,86779,0.641562301,48483,0.358437699,2006
Jackson,50246,33191,0.660569996,17055,0.339430004,2006
Jefferson,14353,11833,0.824426949,2520,0.175573051,2006
Lafayette,8060,7035,0.872828784,1025,0.127171216,2006
Lake,276783,151734,0.548205634,125049,0.451794366,2006
Lee,585608,308667,0.527088086,276941,0.472911914,2006
Leon,272497,96161,0.352888289,176336,0.647111711,2006
Levy,38981,29142,0.747594982,9839,0.252405018,2006
Liberty,7772,6815,0.876865672,957,0.123134328,2006
Madison,19814,15476,0.781063894,4338,0.218936106,2006
Manatee,308325,228622,0.741496797,79703,0.258503203,2006
Marion,315074,256386,0.813732647,58688,0.186267353,2006
Martin,142645,122940,0.861859862,19705,0.138140138,2006
Miami-Dade,2437022,1098924,0.450929044,1338098,0.549070956,2006
Monroe,80510,36466,0.452937523,44044,0.547062477,2006
Nassau,68188,52064,0.763536106,16124,0.236463894,2006
Okaloosa,192672,114483,0.594185974,78189,0.405814026,2006
Okeechobee,38666,32993,0.853281953,5673,0.146718047,2006
Orange,1079524,697666,0.646271875,381858,0.353728125,2006
Osceola,255903,165627,0.647225707,90276,0.352774293,2006
Palm Beach,1287987,561330,0.435819616,726657,0.564180384,2006
Pasco,424355,382872,0.902244583,41483,0.097755417,2006
Pinellas,948102,280487,0.295840532,667615,0.704159468,2006
Polk,565049,354143,0.626747415,210906,0.373252585,2006
Putnam,74416,58317,0.783662116,16099,0.216337884,2006
St. Johns,165291,145025,0.877391994,20266,0.122608006,2006
St. Lucie,259315,73432,0.283176831,185883,0.716823169,2006
Santa Rosa,141428,127411,0.900889499,14017,0.099110501,2006
Sarasota,379386,249601,0.657907777,129785,0.342092223,2006
Seminole,420667,207594,0.493487723,213073,0.506512277,2006
Sumter,82599,73393,0.888545866,9206,0.111454134,2006
Suwannee,38799,31454,0.810690997,7345,0.189309003,2006
Taylor,21471,14632,0.681477342,6839,0.318522658,2006
Union,15028,12366,0.822863987,2662,0.177136013,2006
Volusia,503844,115720,0.229674264,388124,0.770325736,2006
Wakulla,28393,27663,0.974289438,730,0.025710562,2006
Walton,55786,48034,0.861040404,7752,0.138959596,2006
Washington,23073,17571,0.761539462,5502,0.238460538,2006
Alachua,240764,100507,0.417450283,140257,0.582549717,2005
Baker,23953,18270,0.762743706,5683,0.237256294,2005
Bay,161721,64186,0.396893415,97535,0.603106585,2005
Bradford,28118,20847,0.741411196,7271,0.258588804,2005
Brevard,531970,210260,0.395247852,321710,0.604752148,2005
Broward,1740987,44870,0.025772737,1696117,0.974227263,2005
Calhoun,13945,10933,0.784008605,3012,0.215991395,2005
Charlotte,154030,137775,0.89446861,16255,0.10553139,2005
Citrus,132635,121717,0.917683869,10918,0.082316131,2005
Clay,169623,152343,0.898127023,17280,0.101872977,2005
Collier,317788,279124,0.878333984,38664,0.121666016,2005
Columbia,61466,50341,0.819005629,11125,0.180994371,2005
DeSoto,32606,25938,0.795497761,6668,0.204502239,2005
Dixie,15377,13342,0.867659491,2035,0.132340509,2005
Duval,861150,0,0.0,861150,1.0,2005
Escambia,303623,247012,0.813548381,56611,0.186451619,2005
Flagler,78617,12068,0.153503695,66549,0.846496305,2005
Franklin,10845,7061,0.651083449,3784,0.348916551,2005
Gadsden,47713,30725,0.643954478,16988,0.356045522,2005
Gilchrist,16221,13786,0.84988595,2435,0.15011405,2005
Glades,10729,9074,0.845745177,1655,0.154254823,2005
Gulf,16479,11044,0.670186298,5435,0.329813702,2005
Hamilton,14315,10975,0.766678309,3340,0.233321691,2005
Hardee,27333,18626,0.681447335,8707,0.318552665,2005
Hendry,38376,27208,0.708984782,11168,0.291015218,2005
Hernando,150784,143497,0.951672591,7287,0.048327409,2005
Highlands,93456,72793,0.778901301,20663,0.221098699,2005
Hillsborough,1131546,750599,0.66333936,380947,0.33666064,2005
Holmes,19157,15114,0.788954429,4043,0.211045571,2005
Indian River,130043,83822,0.644571411,46221,0.355428589,2005
Jackson,49691,32757,0.659213942,16934,0.340786058,2005
Jefferson,14233,11679,0.820557858,2554,0.179442142,2005
Lafayette,7971,6955,0.87253795,1016,0.12746205,2005
Lake,263017,146221,0.555937449,116796,0.444062551,2005
Lee,549442,292414,0.532201761,257028,0.467798239,2005
Leon,271111,96330,0.355315719,174781,0.644684281,2005
Levy,37985,28295,0.744899302,9690,0.255100698,2005
Liberty,7581,6639,0.875741987,942,0.124258013,2005
Madison,19696,15350,0.77934606,4346,0.22065394,2005
Manatee,304364,225722,0.741618588,78642,0.258381412,2005
Marion,304926,248768,0.815830726,56158,0.184169274,2005
Martin,141059,121516,0.861455136,19543,0.138544864,2005
Miami-Dade,2422075,1134686,0.468476823,1287389,0.531523177,2005
Monroe,82413,37164,0.450948273,45249,0.549051727,2005
Nassau,65759,49944,0.759500601,15815,0.240499399,2005
Okaloosa,188939,112354,0.594657535,76585,0.405342465,2005
Okeechobee,37765,32322,0.855871839,5443,0.144128161,2005
Orange,1043437,677185,0.648994621,366252,0.351005379,2005
Osceola,235156,152233,0.647370256,82923,0.352629744,2005
Palm Beach,1265900,559438,0.441929062,706462,0.558070938,2005
Pasco,406898,366570,0.900889166,40328,0.099110834,2005
Pinellas,947744,283059,0.298666095,664685,0.701333905,2005
Polk,541840,338250,0.624261775,203590,0.375738225,2005
Putnam,73764,57947,0.785572908,15817,0.214427092,2005
St. Johns,157278,137415,0.873707702,19863,0.126292298,2005
St. Lucie,240039,71711,0.298747287,168328,0.701252713,2005
Santa Rosa,136443,122654,0.898939484,13789,0.101060516,2005
Sarasota,367867,246147,0.669119546,121720,0.330880454,2005
Seminole,411744,203021,0.493075795,208723,0.506924205,2005
Sumter,74052,65306,0.881893804,8746,0.118106196,2005
Suwannee,38174,30908,0.809661026,7266,0.190338974,2005
Taylor,21310,14478,0.679399343,6832,0.320600657,2005
Union,15046,12384,0.823075901,2662,0.176924099,2005
Volusia,494649,114961,0.232409244,379688,0.767590756,2005
Wakulla,26867,26143,0.973052444,724,0.026947556,2005
Walton,53525,46230,0.863708547,7295,0.136291453,2005
Washington,23097,17661,0.764644759,5436,0.235355241,2005
Alachua,236174,98755,0.418145096,137419,0.581854904,2004
Baker,23963,18456,0.770187372,5507,0.229812628,2004
Bay,158437,62762,0.396132217,95675,0.603867783,2004
Bradford,27740,20706,0.746431146,7034,0.253568854,2004
Brevard,521422,208239,0.399367499,313183,0.600632501,2004
Broward,1723131,83359,0.048376473,1639772,0.951623527,2004
Calhoun,13610,10610,0.779573843,3000,0.220426157,2004
Charlotte,156985,139817,0.890639233,17168,0.109360767,2004
Citrus,129110,118320,0.916427852,10790,0.083572148,2004
Clay,163461,146401,0.895632597,17060,0.104367403,2004
Collier,306186,267640,0.874109202,38546,0.125890798,2004
Columbia,60453,49373,0.816717119,11080,0.183282881,2004
DeSoto,34105,27251,0.7990324,6854,0.2009676,2004
Dixie,14928,12882,0.862942122,2046,0.137057878,2004
Duval,840474,0,0.0,840474,1.0,2004
Escambia,307226,249132,0.810907931,58094,0.189092069,2004
Flagler,69683,10983,0.157613765,58700,0.842386235,2004
Franklin,10649,6931,0.650859236,3718,0.349140764,2004
Gadsden,46857,30185,0.644194037,16672,0.355805963,2004
Gilchrist,15900,13511,0.849748428,2389,0.150251572,2004
Glades,10733,9083,0.846268518,1650,0.153731482,2004
Gulf,16171,10782,0.666749119,5389,0.333250881,2004
Hamilton,14303,10988,0.768230441,3315,0.231769559,2004
Hardee,27787,18648,0.671105193,9139,0.328894807,2004
Hendry,37394,26297,0.703241162,11097,0.296758838,2004
Hernando,145207,137920,0.949816469,7287,0.050183531,2004
Highlands,92057,71531,0.777029449,20526,0.222970551,2004
Hillsborough,1108435,730821,0.659326889,377614,0.340673111,2004
Holmes,19012,15035,0.790816327,3977,0.209183673,2004
Indian River,126829,81217,0.640366162,45612,0.359633838,2004
Jackson,48870,32275,0.660425619,16595,0.339574381,2004
Jefferson,14064,11527,0.819610353,2537,0.180389647,2004
Lafayette,7535,6513,0.864366291,1022,0.135633709,2004
Lake,251878,141203,0.560600767,110675,0.439399233,2004
Lee,521253,276939,0.531294784,244314,0.468705216,2004
Leon,263896,94760,0.35908085,169136,0.64091915,2004
Levy,37486,28263,0.753961479,9223,0.246038521,2004
Liberty,7354,6412,0.871906445,942,0.128093555,2004
Madison,19498,15169,0.777977228,4329,0.222022772,2004
Manatee,295242,218616,0.740463755,76626,0.259536245,2004
Marion,293317,239352,0.816018165,53965,0.183981835,2004
Martin,137637,118650,0.862050175,18987,0.137949825,2004
Miami-Dade,2379818,1098940,0.461774808,1280878,0.538225192,2004
Monroe,81236,36606,0.450613029,44630,0.549386971,2004
Nassau,65016,49481,0.761058816,15535,0.238941184,2004
Okaloosa,185778,110966,0.597304309,74812,0.402695691,2004
Okeechobee,38004,32546,0.856383539,5458,0.143616461,2004
Orange,1013937,662530,0.65342324,351407,0.34657676,2004
Osceola,225816,145568,0.644631027,80248,0.355368973,2004
Palm Beach,1242270,557228,0.448556272,685042,0.551443728,2004
Pasco,389776,350110,0.898233857,39666,0.101766143,2004
Pinellas,943640,284306,0.301286508,659334,0.698713492,2004
Polk,528389,328359,0.621434209,200030,0.378565791,2004
Putnam,73226,57727,0.788340207,15499,0.211659793,2004
St. Johns,149336,129759,0.868906359,19577,0.131093641,2004
St. Lucie,226216,71389,0.315578916,154827,0.684421084,2004
Santa Rosa,133721,119833,0.896141967,13888,0.103858033,2004
Sarasota,358307,242852,0.67777632,115455,0.32222368,2004
Seminole,403361,199482,0.494549547,203879,0.505450453,2004
Sumter,66416,57811,0.870437846,8605,0.129562154,2004
Suwannee,37713,30475,0.80807679,7238,0.19192321,2004
Taylor,20941,14118,0.674179839,6823,0.325820161,2004
Union,14620,11937,0.816484268,2683,0.183515732,2004
Volusia,484261,113678,0.234745313,370583,0.765254687,2004
Wakulla,25505,24784,0.971731033,721,0.028268967,2004
Walton,50543,43412,0.858912213,7131,0.141087787,2004
Washington,22434,17070,0.760898636,5364,0.239101364,2004
Alachua,231296,95161,0.411425187,136135,0.588574813,2003
Baker,23383,18035,0.771286832,5348,0.228713168,2003
Bay,154827,61258,0.395654505,93569,0.604345495,2003
Bradford,26972,19999,0.741472638,6973,0.258527362,2003
Brevard,507810,204689,0.403081861,303121,0.596918139,2003
Broward,1698425,88063,0.051849802,1610362,0.948150198,2003
Calhoun,13439,10469,0.779001414,2970,0.220998586,2003
Charlotte,151994,135403,0.890844375,16591,0.109155625,2003
Citrus,125804,115128,0.915137833,10676,0.084862167,2003
Clay,156011,139229,0.892430662,16782,0.107569338,2003
Collier,292466,254255,0.869348916,38211,0.130651084,2003
Columbia,58890,47830,0.812192223,11060,0.187807777,2003
DeSoto,33713,26853,0.796517664,6860,0.203482336,2003
Dixie,14688,12632,0.860021786,2056,0.139978214,2003
Duval,826279,0,0.0,826279,1.0,2003
Escambia,303310,245268,0.808638027,58042,0.191361973,2003
Flagler,61541,10600,0.172242895,50941,0.827757105,2003
Franklin,10480,6790,0.647900763,3690,0.352099237,2003
Gadsden,46491,29535,0.635284249,16956,0.364715751,2003
Gilchrist,15517,13214,0.851582136,2303,0.148417864,2003
Glades,10729,9053,0.843787865,1676,0.156212135,2003
Gulf,15615,10257,0.656868396,5358,0.343131604,2003
Hamilton,14025,10635,0.75828877,3390,0.24171123,2003
Hardee,27400,18419,0.672226277,8981,0.327773723,2003
Hendry,36511,25600,0.701158555,10911,0.298841445,2003
Hernando,140670,133365,0.948069951,7305,0.051930049,2003
Highlands,90393,70258,0.777250451,20135,0.222749549,2003
Hillsborough,1079587,707626,0.655459912,371961,0.344540088,2003
Holmes,18940,14966,0.790179514,3974,0.209820486,2003
Indian River,121174,76908,0.63469061,44266,0.36530939,2003
Jackson,48991,32613,0.665693699,16378,0.334306301,2003
Jefferson,13552,11019,0.813090319,2533,0.186909681,2003
Lafayette,7353,6341,0.862369101,1012,0.137630899,2003
Lake,240716,135518,0.56297878,105198,0.43702122,2003
Lee,495088,269200,0.543741719,225888,0.456258281,2003
Leon,255500,93190,0.364735812,162310,0.635264188,2003
Levy,36664,27595,0.752645647,9069,0.247354353,2003
Liberty,7227,6295,0.871039159,932,0.128960841,2003
Madison,19139,14825,0.774596374,4314,0.225403626,2003
Manatee,286884,210813,0.734837077,76071,0.265162923,2003
Marion,281966,228313,0.809718193,53653,0.190281807,2003
Martin,134491,116162,0.863715788,18329,0.136284212,2003
Miami-Dade,2345932,1215197,0.518001801,1130735,0.481998199,2003
Monroe,80537,36399,0.45195376,44138,0.54804624,2003
Nassau,63062,47930,0.760045669,15132,0.239954331,2003
Okaloosa,181102,108157,0.597215934,72945,0.402784066,2003
Okeechobee,37236,31784,0.853582555,5452,0.146417445,2003
Orange,983165,645092,0.656138085,338073,0.343861915,2003
Osceola,210438,134260,0.638002642,76178,0.361997358,2003
Palm Beach,1211448,554082,0.457371674,657366,0.542628326,2003
Pasco,375318,336478,0.896514422,38840,0.103485578,2003
Pinellas,939864,284932,0.303163011,654932,0.696836989,2003
Polk,511929,316613,0.61847053,195316,0.38152947,2003
Putnam,71971,56778,0.788901085,15193,0.211098915,2003
St. Johns,139849,120773,0.863595735,19076,0.136404265,2003
St. Lucie,211898,69472,0.327855855,142426,0.672144145,2003
Santa Rosa,128889,115271,0.894343195,13618,0.105656805,2003
Sarasota,348761,238613,0.684173402,110148,0.315826598,2003
Seminole,394900,194878,0.493486959,200022,0.506513041,2003
Sumter,63001,54560,0.866018,8441,0.133982,2003
Suwannee,37198,29976,0.805849777,7222,0.194150223,2003
Taylor,20646,13822,0.669475928,6824,0.330524072,2003
Union,13726,11354,0.827189276,2372,0.172810724,2003
Volusia,470770,111783,0.237447161,358987,0.762552839,2003
Wakulla,24938,24256,0.972652177,682,0.027347823,2003
Walton,47066,40002,0.849912888,7064,0.150087112,2003
Washington,21913,16669,0.760690001,5244,0.239309999,2003
Alachua,228607,111939,0.489656922,116668,0.510343078,2002
Baker,22992,17818,0.774965205,5174,0.225034795,2002
Bay,152186,60135,0.395141472,92051,0.604858528,2002
Bradford,26517,19410,0.731983256,7107,0.268016744,2002
Brevard,494102,198121,0.400971864,295981,0.599028136,2002
Broward,1669153,95415,0.057163723,1573738,0.942836277,2002
Calhoun,13231,10229,0.773108609,3002,0.226891391,2002
Charlotte,148521,132401,0.89146316,16120,0.10853684,2002
Citrus,123008,112627,0.915607115,10381,0.084392885,2002
Clay,149901,133304,0.889280258,16597,0.110719742,2002
Collier,277457,240093,0.865334088,37364,0.134665912,2002
Columbia,58372,47683,0.816881381,10689,0.183118619,2002
DeSoto,32798,26020,0.793341057,6778,0.206658943,2002
Dixie,14459,12396,0.8573207,2063,0.1426793,2002
Duval,809394,0,0.0,809394,1.0,2002
Escambia,299485,241453,0.806227357,58032,0.193772643,2002
Flagler,56785,10378,0.182759532,46407,0.817240468,2002
Franklin,10161,6554,0.645015254,3607,0.354984746,2002
Gadsden,45911,29948,0.652305548,15963,0.347694452,2002
Gilchrist,15023,12734,0.847633628,2289,0.152366372,2002
Glades,10664,9001,0.844054764,1663,0.155945236,2002
Gulf,15202,9829,0.646559663,5373,0.353440337,2002
Hamilton,13925,10515,0.755116697,3410,0.244883303,2002
Hardee,27437,18444,0.672230929,8993,0.327769071,2002
Hendry,36154,25368,0.701665099,10786,0.298334901,2002
Hernando,136484,129212,0.946719029,7272,0.053280971,2002
Highlands,89038,69011,0.775073564,20027,0.224926436,2002
Hillsborough,1055617,690391,0.654016561,365226,0.345983439,2002
Holmes,18708,14646,0.782873637,4062,0.217126363,2002
Indian River,118149,75039,0.635121753,43110,0.364878247,2002
Jackson,47707,31528,0.660867378,16179,0.339132622,2002
Jefferson,13261,10716,0.808083855,2545,0.191916145,2002
Lafayette,7205,6195,0.85981957,1010,0.14018043,2002
Lake,231072,131010,0.56696614,100062,0.43303386,2002
Lee,475073,258467,0.54405744,216606,0.45594256,2002
Leon,248039,91336,0.368232415,156703,0.631767585,2002
Levy,36013,27023,0.750367923,8990,0.249632077,2002
Liberty,7157,6169,0.861953332,988,0.138046668,2002
Madison,18932,14657,0.774191844,4275,0.225808156,2002
Manatee,277362,203605,0.734076766,73757,0.265923234,2002
Marion,271096,218238,0.8050211,52858,0.1949789,2002
Martin,131051,113008,0.862320776,18043,0.137679224,2002
Miami-Dade,2312478,1223571,0.529116818,1088907,0.470883182,2002
Monroe,81140,36772,0.453192014,44368,0.546807986,2002
Nassau,61094,46372,0.759027073,14722,0.240972927,2002
Okaloosa,176971,105334,0.595204864,71637,0.404795136,2002
Okeechobee,36551,31155,0.85237066,5396,0.14762934,2002
Orange,955865,631450,0.660605839,324415,0.339394161,2002
Osceola,193355,120552,0.623474955,72803,0.376525045,2002
Palm Beach,1183197,545492,0.461032271,637705,0.538967729,2002
Pasco,361468,323321,0.894466453,38147,0.105533547,2002
Pinellas,933994,285490,0.305665775,648504,0.694334225,2002
Polk,502385,311853,0.620745046,190532,0.379254954,2002
Putnam,71329,56418,0.790954591,14911,0.209045409,2002
St. Johns,133953,115395,0.86145887,18558,0.13854113,2002
St. Lucie,203360,67674,0.332779308,135686,0.667220692,2002
Santa Rosa,124956,111412,0.891609847,13544,0.108390153,2002
Sarasota,339684,234601,0.690644835,105083,0.309355165,2002
Seminole,387626,191110,0.493026784,196516,0.506973216,2002
Sumter,61348,52965,0.863353329,8383,0.136646671,2002
Suwannee,35727,28532,0.798611694,7195,0.201388306,2002
Taylor,19800,12973,0.65520202,6827,0.34479798,2002
Union,13794,11421,0.827968682,2373,0.172031318,2002
Volusia,459737,109196,0.237518407,350541,0.762481593,2002
Wakulla,24217,23531,0.971672792,686,0.028327208,2002
Walton,45521,38474,0.845192329,7047,0.154807671,2002
Washington,21649,16359,0.755646912,5290,0.244353088,2002
Alachua,222935,108532,0.486832485,114403,0.513167515,2001
Baker,22562,17492,0.775285879,5070,0.224714121,2001
Bay,150287,58994,0.392542269,91293,0.607457731,2001
Bradford,26080,18973,0.727492331,7107,0.272507669,2001
Brevard,485178,193121,0.398041544,292057,0.601958456,2001
Broward,1649925,112605,0.068248557,1537320,0.931751443,2001
Calhoun,13073,10077,0.770825365,2996,0.229174635,2001
Charlotte,144571,129335,0.894612336,15236,0.105387664,2001
Citrus,120471,110185,0.914618456,10286,0.085381544,2001
Clay,142838,126420,0.885058598,16418,0.114941402,2001
Collier,264475,227234,0.859188959,37241,0.140811041,2001
Columbia,57066,46628,0.817088985,10438,0.182911015,2001
DeSoto,32736,26002,0.794293744,6734,0.205706256,2001
Dixie,14059,11994,0.853118999,2065,0.146881001,2001
Duval,793898,0,0.0,793898,1.0,2001
Escambia,296709,238671,0.804394204,58038,0.195605796,2001
Flagler,53061,9917,0.186898098,43144,0.813101902,2001
Franklin,11197,7569,0.675984639,3628,0.324015361,2001
Gadsden,45284,29141,0.643516474,16143,0.356483526,2001
Gilchrist,14699,12425,0.845295598,2274,0.154704402,2001
Glades,10612,8952,0.843573313,1660,0.156426687,2001
Gulf,14952,9595,0.641720171,5357,0.358279829,2001
Hamilton,13731,10328,0.75216663,3403,0.24783337,2001
Hardee,26921,18015,0.669180194,8906,0.330819806,2001
Hendry,36302,25542,0.703597598,10760,0.296402402,2001
Hernando,132762,125523,0.945473855,7239,0.054526145,2001
Highlands,88212,68288,0.774135038,19924,0.225864962,2001
Hillsborough,1026906,666536,0.649072067,360370,0.350927933,2001
Holmes,18714,14680,0.784439457,4034,0.215560543,2001
Indian River,115716,73458,0.634812818,42258,0.365187182,2001
Jackson,47495,31346,0.659985262,16149,0.340014738,2001
Jefferson,13043,10517,0.806332899,2526,0.193667101,2001
Lafayette,7057,6056,0.858155023,1001,0.141844977,2001
Lake,220323,126253,0.573035952,94070,0.426964048,2001
Lee,454918,247287,0.543585877,207631,0.456414123,2001
Leon,244208,90550,0.370790474,153658,0.629209526,2001
Levy,35118,26317,0.749387778,8801,0.250612222,2001
Liberty,7132,6203,0.869742008,929,0.130257992,2001
Madison,18862,14560,0.771922384,4302,0.228077616,2001
Manatee,270771,197350,0.728844669,73421,0.271155331,2001
Marion,264277,211582,0.800606939,52695,0.199393061,2001
Martin,128873,111056,0.861747612,17817,0.138252388,2001
Miami-Dade,2285869,1206210,0.527681158,1079659,0.472318842,2001
Monroe,80588,36511,0.453057527,44077,0.546942473,2001
Nassau,59409,44577,0.750340857,14832,0.249659143,2001
Okaloosa,173450,102818,0.592781781,70632,0.407218219,2001
Okeechobee,36147,30768,0.85119097,5379,0.14880903,2001
Orange,930034,619597,0.666208977,310437,0.333791023,2001
Osceola,179534,109190,0.608185636,70344,0.391814364,2001
Palm Beach,1154464,531434,0.460329642,623030,0.539670358,2001
Pasco,352380,314593,0.892766332,37787,0.107233668,2001
Pinellas,929208,284867,0.306569681,644341,0.693430319,2001
Polk,496112,309744,0.62434289,186368,0.37565711,2001
Putnam,70820,56145,0.792784524,14675,0.207215476,2001
St. Johns,128604,110372,0.85823147,18232,0.14176853,2001
St. Lucie,198253,67145,0.338683399,131108,0.661316601,2001
Santa Rosa,121370,107881,0.888860509,13489,0.111139491,2001
Sarasota,334023,231939,0.694380327,102084,0.305619673,2001
Seminole,377960,186521,0.493494021,191439,0.506505979,2001
Sumter,56932,48575,0.853210848,8357,0.146789152,2001
Suwannee,35695,28527,0.799187561,7168,0.200812439,2001
Taylor,19521,12674,0.649249526,6847,0.350750474,2001
Union,13521,11251,0.832113009,2270,0.167886991,2001
Volusia,452050,107916,0.238725805,344134,0.761274195,2001
Wakulla,23807,23126,0.971394968,681,0.028605032,2001
Walton,42542,35598,0.836773071,6944,0.163226929,2001
Washington,21437,16167,0.754163362,5270,0.245836638,2001
