city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Lake Butler,Lake Butler,28.4868,-81.5453,United States,US,USA,Florida,,19499,1840143771
Pinecrest,Pinecrest,25.665,-80.3042,United States,US,USA,Florida,,19155,1840018336
Arcadia,Arcadia,27.2213,-81.8587,United States,US,USA,Florida,,19038,1840014187
Seminole,Seminole,27.8435,-82.7839,United States,US,USA,Florida,,18838,1840015978
Cocoa,Cocoa,28.382,-80.7674,United States,US,USA,Florida,,18603,1840015092
Gibsonton,Gibsonton,27.826,-82.3761,United States,US,USA,Florida,,18515,1840014148
World Golf Village,World Golf Village,29.9653,-81.4898,United States,US,USA,Florida,,18327,1840039162
Lake Placid,Lake Placid,27.2977,-81.3715,United States,US,USA,Florida,,18227,1840017248
Safety Harbor,Safety Harbor,28.008,-82.6964,United States,US,USA,Florida,,18016,1840015975
San Carlos Park,San Carlos Park,26.4765,-81.8193,United States,US,USA,Florida,,17961,1840014218
Marco Island,Marco Island,25.933,-81.6993,United States,US,USA,Florida,,17947,1840036141
Midway,Midway,30.4138,-87.0261,United States,US,USA,Florida,,17760,1840143881
Tavares,Tavares,28.7921,-81.7353,United States,US,USA,Florida,,17749,1840015953
Maitland,Maitland,28.6295,-81.3717,United States,US,USA,Florida,,17652,1840015964
Upper Grand Lagoon,Upper Grand Lagoon,30.169,-85.7407,United States,US,USA,Florida,,17550,1840029090
Vero Beach,Vero Beach,27.6463,-80.393,United States,US,USA,Florida,,17503,1840015985
Lake Mary,Lake Mary,28.7592,-81.3359,United States,US,USA,Florida,,17479,1840015090
Glenvar Heights,Glenvar Heights,25.709,-80.3156,United States,US,USA,Florida,,17065,1840014238
Myrtle Grove,Myrtle Grove,30.4158,-87.3028,United States,US,USA,Florida,,16875,1840013917
Lake Wales,Lake Wales,27.9195,-81.5961,United States,US,USA,Florida,,16759,1840015107
New Port Richey,New Port Richey,28.2468,-82.717,United States,US,USA,Florida,,16737,1840015102
Auburndale,Auburndale,28.0962,-81.8011,United States,US,USA,Florida,,16650,1840014127
Groveland,Groveland,28.6021,-81.8204,United States,US,USA,Florida,,16423,1840014056
Stuart,Stuart,27.1958,-80.2438,United States,US,USA,Florida,,16237,1840015990
Lady Lake,Lady Lake,28.9241,-81.9299,United States,US,USA,Florida,,16020,1840017229
Niceville,Niceville,30.5291,-86.4754,United States,US,USA,Florida,,15972,1840015009
Opa-locka,Opa-locka,25.8997,-80.2551,United States,US,USA,Florida,,15887,1840015156
Sunset,Sunset,25.7061,-80.353,United States,US,USA,Florida,,15871,1840029084
Sarasota Springs,Sarasota Springs,27.3092,-82.4788,United States,US,USA,Florida,,15854,1840029072
Three Lakes,Three Lakes,25.6415,-80.4,United States,US,USA,Florida,,15614,1840029010
Longwood,Longwood,28.7014,-81.3487,United States,US,USA,Florida,,15561,1840015957
Southchase,Southchase,28.3793,-81.3903,United States,US,USA,Florida,,15314,1840029005
Englewood,Englewood,26.9603,-82.3535,United States,US,USA,Florida,,15095,1840013127
Oldsmar,Oldsmar,28.0507,-82.6698,United States,US,USA,Florida,,15061,1840015111
West Lealman,West Lealman,27.8191,-82.7385,United States,US,USA,Florida,,14891,1840039134
Bellair-Meadowbrook Terrace,Bellair-Meadowbrook Terrace,30.1796,-81.7375,United States,US,USA,Florida,,14800,1840073845
Nocatee,Nocatee,30.0918,-81.4097,United States,US,USA,Florida,,14747,1840028805
Azalea Park,Azalea Park,28.5473,-81.2956,United States,US,USA,Florida,,14700,1840014082
Gonzalez,Gonzalez,30.5822,-87.2906,United States,US,USA,Florida,,14598,1840013910
Forest City,Forest City,28.6619,-81.4443,United States,US,USA,Florida,,14592,1840028825
Mount Dora,Mount Dora,28.8143,-81.6344,United States,US,USA,Florida,,14516,1840015082
Thonotosassa,Thonotosassa,28.0465,-82.291,United States,US,USA,Florida,,14460,1840014154
Lockhart,Lockhart,28.6271,-81.4354,United States,US,USA,Florida,,14430,1840014095
Clewiston,Clewiston,26.7529,-80.9399,United States,US,USA,Florida,,14383,1840015128
Warrington,Warrington,30.3821,-87.2944,United States,US,USA,Florida,,14351,1840013914
Destin,Destin,30.395,-86.4701,United States,US,USA,Florida,,14247,1840015008
Iona,Iona,26.516,-81.9601,United States,US,USA,Florida,,14118,1840028702
Middleburg,Middleburg,30.0502,-81.9011,United States,US,USA,Florida,,14111,1840013998
Fruitville,Fruitville,27.3328,-82.4616,United States,US,USA,Florida,,14068,1840014179
Lakewood Park,Lakewood Park,27.539,-80.3865,United States,US,USA,Florida,,14064,1840014177
Callaway,Callaway,30.1348,-85.5568,United States,US,USA,Florida,,14060,1840013958
Hobe Sound,Hobe Sound,27.0729,-80.1425,United States,US,USA,Florida,,14003,1840014188
Wauchula,Wauchula,27.5469,-81.8101,United States,US,USA,Florida,,13992,1840015987
Miami Springs,Miami Springs,25.8195,-80.2894,United States,US,USA,Florida,,13917,1840015152
South Venice,South Venice,27.0434,-82.4152,United States,US,USA,Florida,,13907,1840014180
Atlantic Beach,Atlantic Beach,30.3371,-81.4128,United States,US,USA,Florida,,13872,1840013956
Palmetto,Palmetto,27.5251,-82.575,United States,US,USA,Florida,,13748,1840015116
East Milton,East Milton,30.6175,-86.9636,United States,US,USA,Florida,,13697,1840025112
LaBelle,LaBelle,26.7219,-81.4506,United States,US,USA,Florida,,13563,1840015129
Conway,Conway,28.4968,-81.3316,United States,US,USA,Florida,,13528,1840013121
Jensen Beach,Jensen Beach,27.2438,-80.2423,United States,US,USA,Florida,,13479,1840014190
Homosassa Springs,Homosassa Springs,28.8118,-82.5392,United States,US,USA,Florida,,13478,1840014060
North Palm Beach,North Palm Beach,26.8216,-80.0576,United States,US,USA,Florida,,13127,1840018307
South Daytona,South Daytona,29.1656,-81.0056,United States,US,USA,Florida,,13080,1840015950
Villas,Villas,26.5504,-81.8679,United States,US,USA,Florida,,13072,1840029092
Cypress Lake,Cypress Lake,26.5391,-81.9,United States,US,USA,Florida,,12978,1840029032
Gladeview,Gladeview,25.8395,-80.2368,United States,US,USA,Florida,,12977,1840029038
Yulee,Yulee,30.635,-81.5678,United States,US,USA,Florida,,12754,1840013928
Jupiter Farms,Jupiter Farms,26.9224,-80.2187,United States,US,USA,Florida,,12750,1840042432
Elfers,Elfers,28.214,-82.723,United States,US,USA,Florida,,12600,1840013122
Minneola,Minneola,28.6067,-81.7322,United States,US,USA,Florida,,12595,1840015081
Panama City Beach,Panama City Beach,30.2369,-85.8775,United States,US,USA,Florida,,12583,1840015035
Goldenrod,Goldenrod,28.6114,-81.2916,United States,US,USA,Florida,,12384,1840014080
Holly Hill,Holly Hill,29.2443,-81.0463,United States,US,USA,Florida,,12357,1840015078
Gulfport,Gulfport,27.7463,-82.71,United States,US,USA,Florida,,12342,1840014145
Orange City,Orange City,28.9347,-81.2881,United States,US,USA,Florida,,12335,1840015075
Lakeland Highlands,Lakeland Highlands,27.9572,-81.9496,United States,US,USA,Florida,,12332,1840029047
Shady Hills,Shady Hills,28.4042,-82.5467,United States,US,USA,Florida,,12252,1840029004
Union Park,Union Park,28.5645,-81.2354,United States,US,USA,Florida,,12052,1840014090
Goulds,Goulds,25.5614,-80.388,United States,US,USA,Florida,,11984,1840014239
Macclenny,Macclenny,30.281,-82.1252,United States,US,USA,Florida,,11958,1840015921
Hudson,Hudson,28.3594,-82.6888,United States,US,USA,Florida,,11936,1840014115
Viera East,Viera East,28.261,-80.715,United States,US,USA,Florida,,11796,1840039118
Florida City,Florida City,25.4418,-80.4685,United States,US,USA,Florida,,11771,1840014250
Cocoa Beach,Cocoa Beach,28.3326,-80.6274,United States,US,USA,Florida,,11705,1840015093
Port St. John,Port St. John,28.4771,-80.7874,United States,US,USA,Florida,,11684,1840014079
Trinity,Trinity,28.1809,-82.6581,United States,US,USA,Florida,,11493,1840029012
Port Salerno,Port Salerno,27.1461,-80.1895,United States,US,USA,Florida,,11486,1840014193
Viera West,Viera West,28.243,-80.7368,United States,US,USA,Florida,,11369,1840039133
Lighthouse Point,Lighthouse Point,26.2785,-80.0891,United States,US,USA,Florida,,11270,1840015998
Westview,Westview,25.8826,-80.2415,United States,US,USA,Florida,,11247,1840029098
Fuller Heights,Fuller Heights,27.9226,-81.9978,United States,US,USA,Florida,,11143,1840025156
Mango,Mango,27.9915,-82.307,United States,US,USA,Florida,,11137,1840014157
Satellite Beach,Satellite Beach,28.1782,-80.6019,United States,US,USA,Florida,,11130,1840015961
Gulf Gate Estates,Gulf Gate Estates,27.2587,-82.5065,United States,US,USA,Florida,,11118,1840029040
Cheval,Cheval,28.1459,-82.5185,United States,US,USA,Florida,,10808,1840028977
Fruitland Park,Fruitland Park,28.86,-81.919,United States,US,USA,Florida,,10730,1840014055
Gateway,Gateway,26.5804,-81.7453,United States,US,USA,Florida,,10702,1840014213
Avon Park,Avon Park,27.5908,-81.5081,United States,US,USA,Florida,,10689,1840014166
Highland City,Highland City,27.9633,-81.8781,United States,US,USA,Florida,,10602,1840014122
Pasadena Hills,Pasadena Hills,28.2881,-82.238,United States,US,USA,Florida,,10530,1840039051
Milton,Milton,30.6286,-87.0522,United States,US,USA,Florida,,10523,1840015006
Doctor Phillips,Doctor Phillips,28.4476,-81.4922,United States,US,USA,Florida,,10488,1840013119
Gifford,Gifford,27.6747,-80.4102,United States,US,USA,Florida,,10479,1840014160
Pine Castle,Pine Castle,28.4651,-81.374,United States,US,USA,Florida,,10474,1840014097
Cape Canaveral,Cape Canaveral,28.3933,-80.605,United States,US,USA,Florida,,10470,1840015091
Fairview Shores,Fairview Shores,28.602,-81.3948,United States,US,USA,Florida,,10467,1840013120
New Port Richey East,New Port Richey East,28.2605,-82.693,United States,US,USA,Florida,,10398,1840073871
Miami Shores,Miami Shores,25.867,-80.1779,United States,US,USA,Florida,,10365,1840018334
Pine Ridge,Pine Ridge,28.933,-82.4761,United States,US,USA,Florida,,10278,1840028997
Medulla,Medulla,27.957,-81.9866,United States,US,USA,Florida,,10275,1840014131
Cypress Gardens,Cypress Gardens,28.0036,-81.6857,United States,US,USA,Florida,,10252,1840028660
Pebble Creek,Pebble Creek,28.1583,-82.3411,United States,US,USA,Florida,,10249,1840028995
Asbury Lake,Asbury Lake,30.0472,-81.7855,United States,US,USA,Florida,,10160,1840029019
Progress Village,Progress Village,27.8832,-82.3593,United States,US,USA,Florida,,10020,1840028917
Bee Ridge,Bee Ridge,27.2855,-82.4731,United States,US,USA,Florida,,9958,1840028632
Key Largo,Key Largo,25.1224,-80.412,United States,US,USA,Florida,,9952,1840014253
Celebration,Celebration,28.3102,-81.551,United States,US,USA,Florida,,9923,1840014138
Alachua,Alachua,29.7778,-82.4831,United States,US,USA,Florida,,9899,1840014020
Memphis,Memphis,27.5435,-82.5607,United States,US,USA,Florida,,9647,1840014172
Bithlo,Bithlo,28.5644,-81.1074,United States,US,USA,Florida,,9627,1840014083
St. Pete Beach,St. Pete Beach,27.7235,-82.7387,United States,US,USA,Florida,,9587,1840015976
Laurel,Laurel,27.1446,-82.4618,United States,US,USA,Florida,,9518,1840014184
Bardmoor,Bardmoor,27.8575,-82.7534,United States,US,USA,Florida,,9373,1840038841
Beverly Hills,Beverly Hills,28.9175,-82.4541,United States,US,USA,Florida,,9360,1840014061
St. Augustine Shores,St. Augustine Shores,29.8039,-81.3086,United States,US,USA,Florida,,9340,1840013972
Rotonda,Rotonda,26.8845,-82.2791,United States,US,USA,Florida,,9325,1840014201
Marathon,Marathon,24.7262,-81.0376,United States,US,USA,Florida,,9271,1840016010
Hernando,Hernando,28.9451,-82.3781,United States,US,USA,Florida,,9261,1840014058
Sugarmill Woods,Sugarmill Woods,28.7321,-82.4986,United States,US,USA,Florida,,9082,1840014063
Micco,Micco,27.8683,-80.51,United States,US,USA,Florida,,9047,1840014077
Silver Springs Shores,Silver Springs Shores,29.1031,-82.005,United States,US,USA,Florida,,9031,1840028949
Orange Park,Orange Park,30.1706,-81.7041,United States,US,USA,Florida,,8824,1840017206
Palm Beach,Palm Beach,26.6932,-80.0406,United States,US,USA,Florida,,8816,1840017267
North Sarasota,North Sarasota,27.3711,-82.5177,United States,US,USA,Florida,,8806,1840029061
Citrus Springs,Citrus Springs,28.9931,-82.4595,United States,US,USA,Florida,,8779,1840014062
Fern Park,Fern Park,28.6484,-81.3458,United States,US,USA,Florida,,8694,1840014068
Springfield,Springfield,30.1713,-85.6089,United States,US,USA,Florida,,8577,1840015923
Green Cove Springs,Green Cove Springs,29.9904,-81.6807,United States,US,USA,Florida,,8577,1840013999
Brooksville,Brooksville,28.5404,-82.3903,United States,US,USA,Florida,,8564,1840014112
Indian Harbour Beach,Indian Harbour Beach,28.153,-80.5976,United States,US,USA,Florida,,8557,1840015096
Lake Park,Lake Park,26.7998,-80.068,United States,US,USA,Florida,,8556,1840017258
Seffner,Seffner,27.9981,-82.2735,United States,US,USA,Florida,,8362,1840014153
Wimauma,Wimauma,27.6964,-82.3034,United States,US,USA,Florida,,8358,1840014155
Miramar Beach,Miramar Beach,30.3854,-86.3443,United States,US,USA,Florida,,8356,1840013925
Frostproof,Frostproof,27.7493,-81.5252,United States,US,USA,Florida,,8312,1840014135
West Vero Corridor,West Vero Corridor,27.6378,-80.4855,United States,US,USA,Florida,,8292,1840073271
Southeast Arcadia,Southeast Arcadia,27.1862,-81.8521,United States,US,USA,Florida,,8272,1840035778
North Weeki Wachee,North Weeki Wachee,28.5591,-82.5537,United States,US,USA,Florida,,8238,1840073872
Wedgefield,Wedgefield,28.4847,-81.0808,United States,US,USA,Florida,,8180,1840014091
Venice Gardens,Venice Gardens,27.0694,-82.4054,United States,US,USA,Florida,,8171,1840014182
Odessa,Odessa,28.182,-82.553,United States,US,USA,Florida,,8036,1840014121
Pahokee,Pahokee,26.8202,-80.662,United States,US,USA,Florida,,8025,1840015124
Southwest Ranches,Southwest Ranches,26.0476,-80.375,United States,US,USA,Florida,,7957,1840018328
Quincy,Quincy,30.5659,-84.5857,United States,US,USA,Florida,,7957,1840015022
DeFuniak Springs,DeFuniak Springs,30.7123,-86.1208,United States,US,USA,Florida,,7823,1840015011
Williamsburg,Williamsburg,28.4015,-81.4461,United States,US,USA,Florida,,7823,1840029100
Southgate,Southgate,27.3082,-82.5096,United States,US,USA,Florida,,7817,1840029078
McGregor,McGregor,26.5611,-81.9134,United States,US,USA,Florida,,7760,1840029055
Citrus Hills,Citrus Hills,28.887,-82.4312,United States,US,USA,Florida,,7739,1840028978
Indiantown,Indiantown,27.0375,-80.4913,United States,US,USA,Florida,,7669,1840014189
Inwood,Inwood,28.0391,-81.7677,United States,US,USA,Florida,,7575,1840014123
Keystone Heights,Keystone Heights,29.7812,-82.034,United States,US,USA,Florida,,7449,1840015049
Inverness,Inverness,28.8397,-82.3437,United States,US,USA,Florida,,7414,1840015085
Sanibel,Sanibel,26.4534,-82.1023,United States,US,USA,Florida,,7401,1840015996
South Apopka,South Apopka,28.6569,-81.5057,United States,US,USA,Florida,,7381,1840028779
Dade City,Dade City,28.3568,-82.1942,United States,US,USA,Florida,,7338,1840015101
Longboat Key,Longboat Key,27.3926,-82.6341,United States,US,USA,Florida,,7296,1840017250
Wildwood,Wildwood,28.8014,-82.0058,United States,US,USA,Florida,,7276,1840015956
Ormond-by-the-Sea,Ormond-by-the-Sea,29.3436,-81.0677,United States,US,USA,Florida,,7268,1840014042
Neptune Beach,Neptune Beach,30.3165,-81.4118,United States,US,USA,Florida,,7259,1840015030
Belle Isle,Belle Isle,28.4724,-81.3491,United States,US,USA,Florida,,7240,1840014101
Willow Oak,Willow Oak,27.9216,-82.0244,United States,US,USA,Florida,,7236,1840028919
Lake Lorraine,Lake Lorraine,30.4407,-86.5657,United States,US,USA,Florida,,7217,1840029048
Live Oak,Live Oak,30.2956,-82.9847,United States,US,USA,Florida,,7118,1840015929
Fort Myers Beach,Fort Myers Beach,26.4324,-81.9168,United States,US,USA,Florida,,7094,1840017269
River Park,River Park,27.3214,-80.3307,United States,US,USA,Florida,,7071,1840028958
St. Augustine Beach,St. Augustine Beach,29.8414,-81.2713,United States,US,USA,Florida,,7004,1840015936
Heathrow,Heathrow,28.7753,-81.3721,United States,US,USA,Florida,,6987,1840014070
Beacon Square,Beacon Square,28.2118,-82.7504,United States,US,USA,Florida,,6976,1840028798
Fort Meade,Fort Meade,27.7645,-81.8058,United States,US,USA,Florida,,6932,1840014134
Osprey,Osprey,27.1914,-82.48,United States,US,USA,Florida,,6931,1840014186
Fort Pierce North,Fort Pierce North,27.4736,-80.3594,United States,US,USA,Florida,,6926,1840073834
West Samoset,West Samoset,27.4702,-82.5552,United States,US,USA,Florida,,6921,1840029097
Treasure Island,Treasure Island,27.774,-82.7663,United States,US,USA,Florida,,6921,1840015981
Gulf Breeze,Gulf Breeze,30.3685,-87.1769,United States,US,USA,Florida,,6900,1840013920
Perry,Perry,30.109,-83.5821,United States,US,USA,Florida,,6879,1840015046
Lecanto,Lecanto,28.8359,-82.488,United States,US,USA,Florida,,6847,1840014064
South Patrick Shores,South Patrick Shores,28.202,-80.6137,United States,US,USA,Florida,,6842,1840029080
Fort Myers Shores,Fort Myers Shores,26.7135,-81.7383,United States,US,USA,Florida,,6813,1840014212
Indian River Estates,Indian River Estates,27.3564,-80.2983,United States,US,USA,Florida,,6754,1840029044
Pembroke Park,Pembroke Park,25.9852,-80.1777,United States,US,USA,Florida,,6749,1840017273
Cocoa West,Cocoa West,28.3595,-80.7712,United States,US,USA,Florida,,6595,1840073847
Inverness Highlands South,Inverness Highlands South,28.8007,-82.3371,United States,US,USA,Florida,,6441,1840073844
Crystal Lake,Crystal Lake,28.0371,-81.9063,United States,US,USA,Florida,,6431,1840029030
Orlovista,Orlovista,28.5441,-81.4629,United States,US,USA,Florida,,6416,1840014096
Mims,Mims,28.6928,-80.8468,United States,US,USA,Florida,,6375,1840014078
Kathleen,Kathleen,28.1224,-82.0387,United States,US,USA,Florida,,6358,1840014129
Combee Settlement,Combee Settlement,28.0596,-81.9053,United States,US,USA,Florida,,6357,1840029027
Jan Phyl Village,Jan Phyl Village,28.0201,-81.7933,United States,US,USA,Florida,,6346,1840028708
"Islamorada, Village of Islands","Islamorada, Village of Islands",24.9408,-80.6097,United States,US,USA,Florida,,6317,1840073890
Mascotte,Mascotte,28.611,-81.9107,United States,US,USA,Florida,,6315,1840015951
Lely Resort,Lely Resort,26.0889,-81.7031,United States,US,USA,Florida,,6295,1840028991
Lake Alfred,Lake Alfred,28.1041,-81.7264,United States,US,USA,Florida,,6257,1840015106
Ocean City,Ocean City,30.4398,-86.6071,United States,US,USA,Florida,,6249,1840013922
South Gate Ridge,South Gate Ridge,27.2856,-82.497,United States,US,USA,Florida,,6232,1840029079
Newberry,Newberry,29.6385,-82.6057,United States,US,USA,Florida,,6231,1840015058
High Springs,High Springs,29.808,-82.5949,United States,US,USA,Florida,,6178,1840015060
Pelican Bay,Pelican Bay,26.2326,-81.8108,United States,US,USA,Florida,,6140,1840028996
Tequesta,Tequesta,26.9618,-80.1011,United States,US,USA,Florida,,6138,1840018310
Davenport,Davenport,28.1588,-81.6084,United States,US,USA,Florida,,6005,1840015104
Marianna,Marianna,30.7943,-85.226,United States,US,USA,Florida,,5803,1840015897
Fellsmere,Fellsmere,27.7241,-80.5975,United States,US,USA,Florida,,5800,1840014165
Naples Park,Naples Park,26.2633,-81.8094,United States,US,USA,Florida,,5733,1840014233
Rio Pinar,Rio Pinar,28.5271,-81.2628,United States,US,USA,Florida,,5713,1840039091
Loughman,Loughman,28.2381,-81.5685,United States,US,USA,Florida,,5674,1840014130
Starke,Starke,29.9474,-82.1129,United States,US,USA,Florida,,5647,1840015940
Samsula-Spruce Creek,Samsula-Spruce Creek,29.0484,-81.0628,United States,US,USA,Florida,,5637,1840035478
Zephyrhills South,Zephyrhills South,28.2152,-82.1886,United States,US,USA,Florida,,5637,1840073858
Siesta Key,Siesta Key,27.2779,-82.5516,United States,US,USA,Florida,,5573,1840028968
St. Augustine South,St. Augustine South,29.8449,-81.3156,United States,US,USA,Florida,,5431,1840029110
Valparaiso,Valparaiso,30.4926,-86.5079,United States,US,USA,Florida,,5401,1840015903
Floral City,Floral City,28.7065,-82.309,United States,US,USA,Florida,,5395,1840014057
Warm Mineral Springs,Warm Mineral Springs,27.0469,-82.2702,United States,US,USA,Florida,,5390,1840014183
Port LaBelle,Port LaBelle,26.7493,-81.3876,United States,US,USA,Florida,,5348,1840014210
Zephyrhills West,Zephyrhills West,28.2311,-82.2052,United States,US,USA,Florida,,5287,1840035801
South Sarasota,South Sarasota,27.2856,-82.5333,United States,US,USA,Florida,,5283,1840029081
Hutchinson Island South,Hutchinson Island South,27.3243,-80.2425,United States,US,USA,Florida,,5204,1840073842
South Bay,South Bay,26.677,-80.7265,United States,US,USA,Florida,,5200,1840015992
Timber Pines,Timber Pines,28.469,-82.5999,United States,US,USA,Florida,,5198,1840029088
Crawfordville,Crawfordville,30.1995,-84.3634,United States,US,USA,Florida,,5164,1840025125
River Ridge,River Ridge,28.2669,-82.6257,United States,US,USA,Florida,,5157,1840039098
Flagler Beach,Flagler Beach,29.4716,-81.1303,United States,US,USA,Florida,,5123,1840014035
Belleview,Belleview,29.0609,-82.0565,United States,US,USA,Florida,,5101,1840014040
Tice,Tice,26.6758,-81.8171,United States,US,USA,Florida,,5092,1840014219
Dundee,Dundee,28.0115,-81.5995,United States,US,USA,Florida,,5044,1840017241
Whiskey Creek,Whiskey Creek,26.5733,-81.8903,United States,US,USA,Florida,,5022,1840029099
